工程师学校名称,高考BAC录取均分,学校评分网址
Grenoble INP - Ense³,16.24/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-l-energie-l-eau-et-l-environnement-4953.html#classement-des-ecoles-d-ingenieurs
Arts et Métiers Sciences et Technologies,14.93/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-paris-6842.html#classement-des-ecoles-d-ingenieurs
Efrei Paris,14.95/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-d-ingenieurs-generaliste-en-informatique-et-technologies-du-numerique-7950.html#classement-des-ecoles-d-ingenieurs
Télécom SudParis - Evry,16.89/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-telecom-sudparis-7688.html#classement-des-ecoles-d-ingenieurs
UTC - Compiègne,16.44/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-universite-de-technologie-de-compiegne-5895.html#classement-des-ecoles-d-ingenieurs
ESIEA - Paris - Laval,14.36/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-du-monde-numerique-6947.html#classement-des-ecoles-d-ingenieurs
INSA Hauts-de-France,15.74/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-ingenieurs-en-informatique-automatique-mecanique-ener-5863.html#classement-des-ecoles-d-ingenieurs
Polytech Nice Sophia,15.88/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-de-l-universite-nice-sophia-antipolis-3586.html#classement-des-ecoles-d-ingenieurs
CPE - Lyon,14.85/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-de-chimie-physique-electronique-de-lyon-6366.html#classement-des-ecoles-d-ingenieurs
Polytech Sorbonne,16.02/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-pierre-et-marie-curie-6937.html#classement-des-ecoles-d-ingenieurs
École Polytechnique - Palaiseau,18/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-7681.html#classement-des-ecoles-d-ingenieurs
ENSTA Paris,17.57/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-techniques-avancees-6915.html#classement-des-ecoles-d-ingenieurs
École des Mines Paris - PSL,17.78/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-des-mines-de-paris-6922.html#classement-des-ecoles-d-ingenieurs
École centrale - Nantes,16.75/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-centrale-de-nantes-5166.html#classement-des-ecoles-d-ingenieurs
IMT Atlantique,16.34/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-mines-telecom-atlantique-bretagne-pays-de-la-loire-5200.html#classement-des-ecoles-d-ingenieurs
