工程师学校名称,高考BAC录取均分,学校评分网址
Polytech Montpellier,15.75/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-de-montpellier-4703.html#classement-des-ecoles-d-ingenieurs
INSA Hauts-de-France,15.74/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-d-ingenieurs-en-informatique-automatique-mecanique-ener-5863.html#classement-des-ecoles-d-ingenieurs
CESI École d'ingénieurs,15.66/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-d-ingenieurs-du-cesi-centre-de-paris-7759.html#classement-des-ecoles-d-ingenieurs
EEIGM - INP Lorraine,15.42/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-europeenne-d-ingenieurs-en-genie-des-materiaux-5529.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Génie industriel,15.38/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-nationale-superieure-de-genie-industriel-4943.html#classement-des-ecoles-d-ingenieurs
Télécom Saint-Étienne,15.36/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-telecom-saint-etienne-5065.html#classement-des-ecoles-d-ingenieurs
Polytech Paris-Saclay,15.29/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-polytechnique-universitaire-de-l-universite-paris-sud-7685.html#classement-des-ecoles-d-ingenieurs
Efrei Paris,14.95/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-d-ingenieurs-generaliste-en-informatique-et-technologies-du-numerique-7950.html#classement-des-ecoles-d-ingenieurs
Arts et Métiers Sciences et Technologies,14.93/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-arts-et-metiers-campus-de-paris-6842.html#classement-des-ecoles-d-ingenieurs
CPE - Lyon,14.85/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-de-chimie-physique-electronique-de-lyon-6366.html#classement-des-ecoles-d-ingenieurs
CY Tech,14.82/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/cy-tech-grande-ecole-de-sciences-dingenierie-deconomie-et-de-gestion-campus-de-cergy.html#classement-des-ecoles-d-ingenieurs
ECE - Paris - Lyon - Bordeaux,14.75/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ece-paris-6870.html#classement-des-ecoles-d-ingenieurs
Builders École d’ingénieurs,14.7/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-d-ingenieurs-des-travaux-de-la-construction-de-caen-3933.html#classement-des-ecoles-d-ingenieurs
Grenoble INP - Pagora,14.62/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-internationale-du-papier-de-la-communication-imprimee-et-des-biomateriaux-4960.html#classement-des-ecoles-d-ingenieurs
ESIEE Paris - Marne-la-Vallée,14.42/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-esiee-paris-7878.html#classement-des-ecoles-d-ingenieurs
ESIEA - Paris - Laval,14.36/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-ecole-superieure-du-monde-numerique-6947.html#classement-des-ecoles-d-ingenieurs
ICAM,14.36/20,https://www.letudiant.fr/etudes/annuaire-enseignement-superieur/etablissement/etablissement-institut-catholique-d-arts-et-metiers-5798.html#classement-des-ecoles-d-ingenieurs
